# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.08,4.43,-98.88295931692407,0,3.0,330.0512762355376,0.0,0.0,0.0
 0.013858492990443196,2.0799555146408313,4.429715368617846,-98.88295931692407,0.04157547897132959,3.0000000000000004,330.0512762355376,0.0,863.5858669317422,0.0
 0.0213461814266802,2.0799388417764653,4.429320317844782,-92.41669740740157,0.0640385442800406,3.0,141.64714884628378,0.0,537.2753491938122,0.0
 0.02814714855592389,2.0799497442573305,4.428815531802662,-88.76270541818154,0.08444144566777168,3.0,72.53948488231654,0.0,356.60816306202605,0.0
 0.03467391091932674,2.079987984933853,4.428201694613337,-86.43520868102607,0.10402173275798024,3.0000000000000018,41.80250035367871,0.0,251.42576754891357,0.0
 0.041057473923146307,2.0800533266564605,4.427479490398666,-84.83021645309388,0.12317242176943893,3.0,26.179933586203795,0.0,185.84466189845998,0.0
 0.04735376059003065,2.08014553227558,4.4266496032805,-83.66008518627099,0.14206128177009197,3.000000000000001,17.43452762040674,0.0,142.4948530081566,0.0
 0.0535907952327635,2.080264364641638,4.4257127173806925,-82.771339851648,0.16077238569829053,3.0000000000000013,12.169466473170846,0.0,112.45001653797756,0.0
 0.05978416788635545,2.080409586605062,4.4246695168211,-82.07489499432572,0.17935250365906638,3.000000000000002,8.814948875789906,0.0,90.8103123033444,0.0
 0.06594322339896785,2.0805809610162784,4.4235206857235765,-81.51558923973175,0.19782967019690362,3.000000000000002,6.578638713413509,0.0,74.72435783443072,0.0
 0.07207388824014947,2.0807782507257153,4.422266908209975,-81.05747924637633,0.2162216647204485,3.000000000000002,5.031554311946347,0.0,62.44823136094247,0.0
 0.07818009112957842,2.0810012185837987,4.420908868402151,-80.67615767560042,0.23454027338873534,3.0,3.927791103905992,0.0,52.86942216407202,0.0
 0.08426453113644021,2.081249627440957,4.419447250421956,-80.35447684824567,0.2527935934093207,3.0000000000000044,3.1195515418615067,0.0,45.252272772167196,0.0
 0.09032911781055263,2.081523240147616,4.417882738391248,-80.08004051781828,0.270987353431658,3.0,2.5143854948736934,0.0,39.09509134654656,0.0
 0.09637523564072313,2.0818218195542033,4.416216016431878,-79.84366698895579,0.2891257069221695,3.0,2.0524573404095516,0.0,34.046484279915404,0.0
 0.10240390937806935,2.0821451285111454,4.414447768665702,-79.63841184332848,0.30721172813420816,3.0,1.6938819771913038,0.0,29.854524562362336,0.0
 0.10841591092044643,2.08249292986887,4.412578679214574,-79.45892639561264,0.3252477327613394,3.0,1.4113802553823818,0.0,26.334853521392947,0.0
 0.11441183044432945,2.0828649864778046,4.4106094322003475,-79.3010247332251,0.3432354913329885,3.000000000000002,1.1858675864237527,0.0,23.3500842579269,0.0
 0.12039212495143214,2.0832610611883755,4.408540711744877,-79.16138435259704,0.36117637485429654,3.0,1.0037215052482087,0.0,20.796160954245156,0.0
 0.12635715214364313,2.0836809168510095,4.406373201970018,-79.03733468701138,0.37907145643092954,3.0000000000000093,0.8550424406326756,0.0,18.59311822613953,0.0
 0.1323071945294006,2.0841243163161343,4.404107586997621,-78.92670484548245,0.39692158358820195,3.0,0.7325194444173515,0.0,16.678692683444634,0.0
 0.1382424768821874,2.0845910224341764,4.401744550949544,-78.82771209513083,0.4147274306465624,3.000000000000005,0.6306741523738504,0.0,15.003824591437077,0.0
 0.1441631790856448,2.0850807980555635,4.399284777947641,-78.73887891781203,0.4324895372569346,3.000000000000005,0.5453468374156153,0.0,13.529437347959897,0.0
 0.15006944572012193,2.085593406030722,4.396728952113763,-78.65897045342052,0.45020833716036596,2.9999999999999907,0.47334074931046427,0.0,12.224096654472131,0.0
 0.1559613933106433,2.0861286092100797,4.394077757569767,-78.58694671659092,0.46788417993193004,3.0,0.41217194762054665,0.0,11.06228528589946,0.0
 0.16183911587208508,2.0866861704440622,4.391331878437507,-78.52192567278487,0.48551734761625537,2.999999999999995,0.35989071182154864,0.0,10.023115459598712,0.0
 0.16770268919782558,2.0872658525830983,4.388491998838836,-78.46315440033516,0.5031080675934769,3.0000000000000093,0.3149522862160145,0.0,9.089356351798955,0.0
 0.1735521742098821,2.0878674184776145,4.385558802895609,-78.40998634658607,0.5206565226296466,3.000000000000019,0.27612215037654914,0.0,8.246691794930841,0.0
 0.1793876196001605,2.088490630978037,4.38253297472968,-78.36186322696629,0.5381628588004818,2.9999999999999907,0.24240577837397964,0.0,7.483147880420898,0.0
 0.18520906393064676,2.0891352529347946,4.379415198462903,-78.31830049816362,0.5556271917919404,2.999999999999981,0.21299599178049253,0.0,6.788647459886339,0.0
 0.191016537316668,2.089801047198313,4.3762061582171325,-78.27887560871325,0.5730496119500041,2.999999999999995,0.18723309939480898,0.0,6.15466048429823,0.0
 0.19681006278600807,2.090487776619019,4.372906538114222,-78.24321842644233,0.5904301883580243,2.999999999999995,0.16457443949186587,0.0,5.573927218426632,0.0
 0.2025896573838488,2.0911952040473407,4.3695170222760265,-78.21100338680195,0.6077689721515465,3.0,0.14457089354068406,0.0,5.040237545909745,0.0
 0.2083553330769107,2.091923092333704,4.366038294824401,-78.18194301169625,0.6250659992307322,3.0000000000000098,0.12684863482901784,0.0,4.548253771159899,0.0
 0.2141070974977608,2.0926712043285374,4.362471039881197,-78.1557825274783,0.6423212924932825,2.999999999999995,0.11109483461455504,0.0,4.093367299415042,0.0
