# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,0.0,8.0,-0.2304628331639377,0,3.0,-0.6948833147393502,0.0,0.0,0.0
 0.08907515974637814,0.011901479847018007,7.999952128,-0.2304628331639377,0.26722547923913437,2.9999999999999996,-0.6948833147393502,0.0,-12.918690937054942,0.0
 0.12545373378160313,0.023606987984907082,7.999809024,-0.7004263878557809,0.3763612013448093,3.0,-0.7244104183944212,0.0,-17.48240577800024,0.0
 0.15301753607186733,0.03511812730891979,7.999571456,-1.182307964278752,0.4590526082156019,2.999999999999999,-0.7552949294570723,0.0,-21.534672758879122,0.0
 0.17596357496524723,0.04643650071430873,7.999240191999999,-1.676443402960201,0.5278907248957416,3.0000000000000013,-0.7875950054347146,0.0,-25.38520983653323,0.0
 0.1959252621984403,0.057563711096326464,7.998816,-2.1831750220660537,0.5877757865953208,2.9999999999999973,-0.8213700496733206,0.0,-29.164214557678637,0.0
 0.2137442305956371,0.06850136135022558,7.998299648000001,-2.702851239598396,0.6412326917869112,3.0000000000000018,-0.8566805201434987,0.0,-32.94322758471255,0.0
 0.22992281773610554,0.07925105437125865,7.997691904,-3.2358261177659515,0.6897684532083165,2.9999999999999964,-0.8935876970184539,0.0,-36.76795650661625,0.0
 0.24478991276786277,0.08981439305467825,7.996993536,-3.782458821273332,0.7343697383035882,3.0000000000000018,-0.9321534036566169,0.0,-40.670751596476514,0.0
 0.2585751057516867,0.10019298029573698,7.996205312,-4.343112980827925,0.77572531725506,3.000000000000004,-0.972439675286644,0.0,-44.676301027892556,0.0
 0.2714464258529455,0.11038841898968738,7.995328,-4.918155952298128,0.8143392775588364,3.0,-1.0145083703259263,0.0,-48.80455516822795,0.0
 0.2835314045512419,0.12040231203178206,7.994362368,-5.507957961885993,0.8505942136537257,3.0000000000000093,-1.0584207177927791,0.0,-53.07235388862157,0.0
 0.2949296773015773,0.1302362623172736,7.993309184,-6.112891127010829,0.884789031904732,3.0,-1.1042367947310103,0.0,-57.49438332935491,0.0
 0.30572094384495635,0.13989187274141454,7.992169216000001,-6.733328342265105,0.9171628315348692,3.00000000000001,-1.1520149277825402,0.0,-62.08375780456598,0.0
 0.3159702215934188,0.1493707461994575,7.990943232,-7.3696420196723755,0.9479106647802565,2.9999999999999947,-1.2018110119909922,0.0,-66.85237795408226,0.0
 0.3257314398546653,0.15867448558665503,7.989632,-8.022202672165516,0.977194319563996,3.0000000000000058,-1.253677741915052,0.0,-71.81114738774784,0.0
 0.33504997439555617,0.1678046937982597,7.988236288,-8.691377329519248,1.0051499231866687,3.0000000000000058,-1.3076637482692126,0.0,-76.97009481810025,0.0
 0.3439644813605941,0.17676297372952415,7.986756864,-9.377527775874833,1.0318934440817826,3.0000000000000124,-1.3638126365342056,0.0,-82.3384297373136,0.0
 0.3525082539970861,0.1855509282757009,7.985194496,-10.081008598796211,1.0575247619912584,2.999999999999987,-1.4221619227135414,0.0,-87.92454891644563,0.0
 0.36071024593802553,0.19417016033204254,7.983549952,-10.802165040419634,1.0821307378140768,2.9999999999999933,-1.482741864410457,0.0,-93.73600473931602,0.0
 0.36859585621118757,0.20262227279380168,7.981824,-11.541330642357151,1.105787568633563,3.000000000000014,-1.5455741861043022,0.0,-99.77944264501879,0.0
 0.376187540582521,0.2109088685562308,7.980017407999999,-12.298824677665703,1.1285626217475635,3.0000000000000218,-1.6106707003821923,0.0,-106.06051264434029,0.0
 0.38350529407960554,0.2190315505145826,7.978130944,-13.0749493649714,1.150515882238817,3.0,-1.6780318293942305,0.0,-112.58375857637,0.0
 0.39056703644472623,0.22699192156410958,7.976165376,-13.869986862534672,1.1717011093341791,3.0,-1.7476450337213372,0.0,-119.35248793877835,0.0
 0.39738892339681414,0.23479158460006436,7.974121471999999,-14.684196042703453,1.1921667701904428,2.999999999999992,-1.8194831607956001,0.0,-126.36862488318842,0.0
 0.4039856004545077,0.2424321425176995,7.972,-15.517809051282669,1.2119568013635236,3.0000000000000084,-1.8935027281220194,0.0,-132.8929567700915,0.0
 0.41040594529189556,0.2499151982122676,7.969801728,-16.37102766020673,1.2175900263319395,0.8774022441305198,-1.9696421621844855,0.0,-137.46469013162707,0.0
 0.4167566071653131,0.2572423545790212,7.967527424,-17.244019426766812,1.1985380407116868,-3.000000000000009,-2.0478200205067245,0.0,-140.6575819186058,0.0
 0.42310460661055455,0.26441521451321287,7.9651778559999995,-18.136913678755125,1.1794940423759623,-3.0000000000000173,-2.127933228126435,0.0,-143.80814026165663,0.0
 0.4294525342721521,0.2714353809100952,7.962753792,-19.049797350284994,1.1604502593911699,-2.9999999999999827,-2.209855368321496,0.0,-146.90049166255855,0.0
 0.4358031825219901,0.2783044566649209,7.960256,-19.982710700562162,1.141398314641656,-2.9999999999999827,-2.2934350720477443,0.0,-149.91745775038999,0.0
 0.4421595620148906,0.28502404467294234,7.957685248,-20.935642954634517,1.1223291761629544,-3.000000000000009,-2.3784945583851558,0.0,-152.84057187631902,0.0
 0.448524920026226,0.29159574782941217,7.955042304,-21.908527913284537,1.103233102128948,-3.0,-2.4648283827371182,0.0,-155.65613776302817,0.0
 0.45490251417625727,0.2980211690295831,7.952327936,-22.901239586898484,1.0841841809550237,-2.9868506408221482,-2.552202455015813,0.0,-158.40620140885517,0.0
